slug,name_en,name_ja,note_en,verified
allylisopropylacetylurea,Allylisopropylacetylurea,アリルイソプロピルアセチル尿素,A sedative added to some painkillers. Not used in Australian medicines.,true
aminocaproic-acid,Aminocaproic acid,イプシロン-アミノカプロン酸,Reduces inflammation.,true
ammonia-water,Ammonia solution,アンモニア水,Relieves itching from insect bites.,true
anchusan,Anchusan,安中散,A traditional Japanese (Kampo) herbal formula.,true
anhydrous-caffeine,Anhydrous caffeine,無水カフェイン,null,true
apricot-kernel,Apricot kernel,キョウニン,A plant extract.,true
aspirin,Aspirin,アセチルサリチル酸,The same ingredient as in Aspro. Japanese boxes write it as acetylsalicylic acid.,true
berberine-tannate,Berberine tannate,タンニン酸ベルベリン,Slows the bowel.,true
bifidobacterium,Bifidobacterium,ビフィズス菌,A live bacterium that supports gut balance.,true
biodiastase,Biodiastase,ビオヂアスターゼ,A digestive enzyme.,true
bromhexine,Bromhexine hydrochloride,ブロムヘキシン塩酸塩,Loosens mucus.,true
calcium-carbonate,Calcium carbonate,沈降炭酸カルシウム,An antacid.,true
calcium-chloride,Calcium chloride,塩化カルシウム水和物,A mineral that matches the eye fluid.,true
capsicum-tincture,Capsicum tincture,トウガラシチンキ,Produces a warming sensation.,true
cetirizine,Cetirizine hydrochloride,セチリジン塩酸塩,The same ingredient as in Zyrtec.,true
chlorhexidine,Chlorhexidine gluconate,クロルヘキシジングルコン酸塩,An antiseptic.,true
chlorpheniramine,Chlorpheniramine maleate,クロルフェニラミンマレイン酸塩,An older antihistamine. Can cause drowsiness.,true
chondroitin-sulfate,Chondroitin sulfate sodium,コンドロイチン硫酸エステルナトリウム,Helps retain moisture on the eye surface.,true
cinnamon-bark,Cinnamon bark,ケイヒ,A plant extract.,true
citrus-peel,Citrus unshiu peel,チンピ末,A plant extract.,true
clemastine,Clemastine fumarate,クレマスチンフマル酸塩,An antihistamine. Can cause drowsiness.,true
clove,Clove,チョウジ,A plant extract.,true
crotamiton,Crotamiton,クロタミトン,Relieves itching.,true
d-camphor,d-Camphor,d-カンフル,Produces a cooling sensation.,true
