product_slug,ingredient_slug,sort_order
alesion-20,epinastine,1
allegra-fx,fexofenadine,1
anneron,pheniramine,1
anneron,ethyl-aminobenzoate,2
anneron,scopolamine,3
anneron,anhydrous-caffeine,4
anneron,pyridoxine,5
benza-block-l,ibuprofen,1
benza-block-l,pseudoephedrine,2
benza-block-l,chlorpheniramine,3
benza-block-l,dihydrocodeine,4
benza-block-l,anhydrous-caffeine,5
bufferin-a,aspirin,1
bufferin-a,synthetic-hydrotalcite,2
bufferin-luna-i,ibuprofen,1
bufferin-luna-i,paracetamol,2
claritin-ex,loratadine,1
eve-a,ibuprofen,1
eve-a,allylisopropylacetylurea,2
eve-a,anhydrous-caffeine,3
gaster-10,famotidine,1
kinkan,ammonia-water,1
kinkan,l-menthol,2
kinkan,d-camphor,3
kinkan,salicylic-acid,4
kinkan,capsicum-tincture,5
liquid-muhi-s2a,dexamethasone-acetate,1
liquid-muhi-s2a,diphenhydramine-hydrochloride,2
liquid-muhi-s2a,l-menthol,3
liquid-muhi-s2a,dl-camphor,4
liquid-muhi-s2a,glycyrrhetinic-acid,5
liquid-muhi-s2a,isopropylmethylphenol,6
loxonin-s,loxoprofen,1
lulu-attack-ex,tranexamic-acid,1
lulu-attack-ex,ibuprofen,2
lulu-attack-ex,clemastine,3
lulu-attack-ex,bromhexine,4
lulu-attack-ex,methylephedrine,5
lulu-attack-ex,dihydrocodeine,6
lulu-attack-ex,thiamine-nitrate,7
lulu-attack-ex,riboflavin,8
mentholatum-ad,crotamiton,1
mentholatum-ad,lidocaine,2
mentholatum-ad,diphenhydramine,3
mentholatum-ad,tocopherol-acetate,4
mentholatum-ad,glycyrrhetinic-acid,5
muhi-s,diphenhydramine,1
muhi-s,l-menthol,2
muhi-s,dl-camphor,3
muhi-s,glycyrrhetinic-acid,4
muhi-s,isopropylmethylphenol,5
oronine-h,chlorhexidine,1
ota-isan,cinnamon-bark,1
ota-isan,fennel,2
ota-isan,nutmeg,3
ota-isan,clove,4
ota-isan,citrus-peel,5
ota-isan,gentian,6
ota-isan,picrasma,7
ota-isan,sodium-bicarbonate,8
ota-isan,calcium-carbonate,9
ota-isan,synthetic-hydrotalcite,10
ota-isan,biodiastase,11
pabron-gold-a,guaifenesin,1
pabron-gold-a,dihydrocodeine,2
pabron-gold-a,methylephedrine,3
pabron-gold-a,paracetamol,4
pabron-gold-a,chlorpheniramine,5
pabron-gold-a,anhydrous-caffeine,6
pabron-gold-a,riboflavin,7
pelack-t,tranexamic-acid,1
pelack-t,licorice-extract,2
pelack-t,pyridoxine,3
pelack-t,riboflavin,4
pelack-t,sodium-ascorbate,5
rohto-c-cube-a,taurine,1
rohto-c-cube-a,potassium-chloride,2
rohto-c-cube-a,sodium-chloride,3
rohto-c-cube-a,calcium-chloride,4
ryukakusan-direct,platycodon,1
ryukakusan-direct,senega,2
ryukakusan-direct,licorice,3
ryukakusan-direct,apricot-kernel,4
ryukakusan-direct,ginseng,5
ryukakusan-direct,gambir,6
salonpas-ae,methyl-salicylate,1
salonpas-ae,l-menthol,2
salonpas-ae,tocopherol-acetate,3
sante-fx-neo,neostigmine,1
sante-fx-neo,tetrahydrozoline,2
sante-fx-neo,chlorpheniramine,3
sante-fx-neo,taurine,4
sante-fx-neo,potassium-aspartate,5
sante-fx-neo,aminocaproic-acid,6
seirogan,wood-creosote,1
seirogan,gambir,2
seirogan,phellodendron-bark,3
seirogan,licorice,4
seirogan,citrus-peel,5
shin-biofermin-s,bifidobacterium,1
shin-biofermin-s,enterococcus-faecalis,2
shin-biofermin-s,lactobacillus-acidophilus,3
smile-40ex,retinol-palmitate,1
smile-40ex,tocopherol-acetate,2
smile-40ex,pyridoxine,3
smile-40ex,potassium-aspartate,4
smile-40ex,chondroitin-sulfate,5
smile-40ex,chlorpheniramine,6
smile-40ex,tetrahydrozoline,7
stonarini-z,cetirizine,1
stoppa-ex,berberine-tannate,1
stoppa-ex,scopolia-extract,2
taisho-kampo-ichoyaku,anchusan,1
taisho-kampo-ichoyaku,shakuyakukanzoto,2
travelmin,diphenhydramine-salicylate,1
travelmin,diprophylline,2
tylenol-a,paracetamol,1
voltaren-ex-tape,diclofenac,1
