slug,name_ja,name_romaji,summary_en,maker,otc_class,category,form,search_terms,source_url,verified,reviewed_at,updated_at,sort_order
alesion-20,アレジオン20,Alesion 20,For hay fever and allergic rhinitis,エスエス製薬,class2,allergy,tablet,"[""alesion"",""alegion"",""アレジオン""]",https://www.ssp.co.jp/alesion/products/epinastine/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,4
allegra-fx,アレグラFX,Allegra FX,For hay fever and allergic rhinitis,久光製薬,class2,allergy,tablet,"[""allegra"",""alegra"",""アレグラ""]",https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1201000287,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,1
anneron,アネロン「ニスキャップ」,Anneron Niscap,For motion sickness. One capsule lasts the day,エスエス製薬,designated_class2,motion-sickness,capsule,"[""anneron"",""アネロン""]",https://www.ssp.co.jp/product/detail/annys/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,2
benza-block-l,ベンザブロックL,Benza Block L,Multi-symptom cold medicine for sore throat,アリナミン製薬,designated_class2,cold-flu,tablet,"[""benza"",""benzablock"",""ベンザ""]",https://alinamin-kenko.jp/products/kaze/bbl.html,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,5
bufferin-a,バファリンA,Bufferin A,Pain and fever relief,ライオン,designated_class2,pain-fever,tablet,"[""bufferin"",""bafarin"",""バファリン""]",https://www.bufferin.net/products/a,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,4
bufferin-luna-i,バファリン ルナi,Bufferin Luna i,Pain and fever relief,ライオン,designated_class2,pain-fever,tablet,"[""bufferin"",""luna"",""バファリン""]",https://www.lion.co.jp/ja/products/190,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,3
claritin-ex,クラリチンEX,Claritin EX,For hay fever and allergic rhinitis,大正製薬,class2,allergy,tablet,"[""claritin"",""claratyne"",""クラリチン""]",https://www.kegg.jp/medicus-bin/japic_otc?japic_code=K1701000007,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,2
eve-a,イブA錠,EVE A,Pain and fever relief,エスエス製薬,designated_class2,pain-fever,tablet,"[""eve"",""ibu"",""ebu"",""イブ""]",https://www.ssp.co.jp/product/detail/evea/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,2
gaster-10,ガスター10,Gaster 10,For heartburn and stomach pain,第一三共ヘルスケア,class1,stomach,tablet,"[""gaster"",""gasuta"",""ガスター""]",https://www.daiichisankyo-hc.co.jp/products/details/gaster/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,9
kinkan,キンカン,Kinkan,Liquid for insect bites and itching,金冠堂,class2,skin,liquid,"[""kinkan"",""キンカン""]",https://www.kinkan.co.jp/products/kinkan20/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,4
liquid-muhi-s2a,液体ムヒS2a,Liquid Muhi S2a,For insect bites with swelling and redness,池田模範堂,designated_class2,skin,liquid,"[""muhi"",""ムヒ""]",https://shop.ikedamohando.co.jp/shop/products/inb0002n,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,3
loxonin-s,ロキソニンS,Loxonin S,Pain and fever relief,第一三共ヘルスケア,class1,pain-fever,tablet,"[""loxonin"",""roxonin"",""rokisonin"",""ロキソニン""]",https://www.daiichisankyo-hc.co.jp/products/details/loxonin-s/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,9
lulu-attack-ex,ルルアタックEX,Lulu Attack EX,Multi-symptom cold medicine for sore throat and fever,第一三共ヘルスケア,designated_class2,cold-flu,tablet,"[""lulu"",""ruru"",""ルル""]",https://www.daiichisankyo-hc.co.jp/products/details/lulu_attack_ex/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,4
mentholatum-ad,メンソレータムADクリームm,Mentholatum AD Cream,"For itchy, dry skin. Steroid-free",ロート製薬,class2,skin,cream,"[""mentholatum"",""ad"",""メンソレータム""]",https://www.shop.rohto.co.jp/category/medicine/mentholatum/ad/199419.html,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,5
muhi-s,ムヒS,Muhi S,For itching and insect bites,池田模範堂,class3,skin,cream,"[""muhi"",""ムヒ""]",https://www.ikedamohando.co.jp/products/muhi-s.html,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,2
oronine-h,オロナインH軟膏,Oronine H,"Antiseptic ointment for cuts, grazes and minor burns",大塚製薬,class2,skin,ointment,"[""oronine"",""オロナイン""]",https://www.otsuka.co.jp/ohn/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,1
ota-isan,太田胃散〈分包〉S,Ohta Isan S (Sachets),"For indigestion, heartburn and an upset stomach",太田胃散,class2,stomach,powder,"[""ota"",""ohta"",""太田胃散""]",https://ohta-isan.co.jp/product/medicine/ohtaisanb-s/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,1
pabron-gold-a,パブロンゴールドA,Pabron Gold A,Multi-symptom cold and flu medicine,大正製薬,designated_class2,cold-flu,tablet,"[""pabron"",""paburon"",""パブロン""]",https://www.catalog-taisho.com/category/02/001/04513/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,3
pelack-t,ペラックT錠a,Pelack T,For a sore or swollen throat,第一三共ヘルスケア,class3,cold-flu,tablet,"[""pelack"",""perakku"",""ペラック""]",https://www.daiichisankyo-hc.co.jp/products/details/pelack_t_tab/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,1
rohto-c-cube-a,ロートCキューブa,Rohto C Cube,Eye drops that can be used with contact lenses,ロート製薬,class3,eye-drops,eye_drops,"[""ccube"",""cube"",""キューブ""]",https://jp.rohto.com/c3/eyedrop-a/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,1
ryukakusan-direct,龍角散ダイレクト,Ryukakusan Direct,For a sore throat and cough. Taken without water,龍角散,class3,cold-flu,granule,"[""ryukakusan"",""龍角散""]",https://www.ryukakusan.co.jp/direct/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,2
salonpas-ae,サロンパスAe,Salonpas Ae,Medicated patch for stiff shoulders and muscle pain,久光製薬,class3,muscle-joint,patch,"[""salonpas"",""サロンパス""]",https://www.salonpas.jp/lineup/salonpas_ae.html,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,2
sante-fx-neo,サンテFXネオ,Sante FX Neo,For tired and bloodshot eyes,参天製薬,class2,eye-drops,eye_drops,"[""sante"",""santefx"",""サンテ""]",https://www.santen.com/jp/healthcare/eye/products/otc/sante_fx_neo,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,3
seirogan,正露丸,Seirogan,For diarrhoea and upset stomach,大幸薬品,class2,stomach,pill,"[""seirogan"",""seirogun"",""正露丸"",""ラッパ""]",https://search.jsm-db.info/sp/detail.php?txtID=4987110000002,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,4
shin-biofermin-s,新ビオフェルミンS錠,Shin Biofermin S,Probiotic for general gut balance,大正製薬,class3,stomach,tablet,"[""biofermin"",""ビオフェルミン""]",https://brand.taisho.co.jp/biofermin/product/s/jou/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,2
smile-40ex,スマイル40EXa,Smile 40 EXa,For tired eyes,ライオン,class2,eye-drops,eye_drops,"[""smile"",""スマイル""]",https://www.lion.co.jp/ja/products/201,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,2
stonarini-z,ストナリニZジェル,Stonarini Z Gel,For hay fever and allergic rhinitis,佐藤製薬,class2,allergy,tablet,"[""stonarini"",""ストナリニ""]",https://search.sato-seiyaku.co.jp/pub/product/2078/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,3
stoppa-ex,ストッパ下痢止めEX,Stoppa EX,For sudden diarrhoea. Taken without water,ライオン,class2,stomach,tablet,"[""stoppa"",""ストッパ""]",https://www.data-index.co.jp/medsearch/otc/results/detail/?touroku_code=B00800261031,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,3
taisho-kampo-ichoyaku,大正漢方胃腸薬,Taisho Kampo Ichoyaku,Herbal medicine for a weak or painful stomach,大正製薬,class2,stomach,granule,"[""kampo"",""漢方"",""大正""]",https://www.catalog-taisho.com/category/05/001/00948/,true,2026-08-29 01:26:49.561786+00,2026-08-29 01:26:49.561786+00,5
