product_slug,ingredient_slug,sort_order
loxonin-s,loxoprofen,1
tylenol-a,paracetamol,1
eve-a,ibuprofen,1
eve-a,allylisopropylacetylurea,2
eve-a,anhydrous-caffeine,3
bufferin-a,aspirin,1
bufferin-a,synthetic-hydrotalcite,2
pabron-gold-a,guaifenesin,1
pabron-gold-a,dihydrocodeine,2
pabron-gold-a,methylephedrine,3
pabron-gold-a,paracetamol,4
pabron-gold-a,chlorpheniramine,5
pabron-gold-a,anhydrous-caffeine,6
pabron-gold-a,riboflavin,7
seirogan,wood-creosote,1
seirogan,gambir,2
seirogan,phellodendron-bark,3
seirogan,licorice,4
seirogan,citrus-peel,5
gaster-10,famotidine,1
allegra-fx,fexofenadine,1
muhi-s,diphenhydramine,1
muhi-s,l-menthol,2
muhi-s,dl-camphor,3
muhi-s,glycyrrhetinic-acid,4
muhi-s,isopropylmethylphenol,5
sante-fx-neo,neostigmine,1
sante-fx-neo,tetrahydrozoline,2
sante-fx-neo,chlorpheniramine,3
sante-fx-neo,taurine,4
sante-fx-neo,potassium-aspartate,5
sante-fx-neo,aminocaproic-acid,6
